base,value,name
1,106,million
2,109,billion
3,1012,trillion
4,1015,quadrillion
5,1018,quintillion
6,1021,sextillion
7,1024,septillion
8,1027,octillion
9,1030,nonillion
10,1033,decillion
11,1036,undecillion
12,1039,duodecillion
13,1042,tredecillion
14,1045,quattuordecillion
15,1048,quinquadecillion
16,1051,sedecillion
17,1054,septendecillion
18,1057,octodecillion
19,1060,novendecillion
20,1063,vigintillion
21,1066,unvigintillion
22,1069,duovigintillion
23,1072,tresvigintillion
24,1075,quattuorvigintillion
25,1078,quinquavigintillion
26,1081,sesvigintillion
27,1084,septemvigintillion
28,1087,octovigintillion
29,1090,novemvigintillion
30,1093,trigintillion
31,1096,untrigintillion
32,1099,duotrigintillion
33,10102,trestrigintillion
34,10105,quattuortrigintillion
35,10108,quinquatrigintillion
36,10111,sestrigintillion
37,10114,septentrigintillion
38,10117,octotrigintillion
39,10120,noventrigintillion
40,10123,quadragintillion
